Slope_deg,Relief_Amp,Rainfall_,Profile_Cu,Plan_Curva,Curvature,Aspect,Elevation,DTS_meter,DTR_meter,DTF_meter,NDWI,NDVI,NDSI,Landuse_La,geology,TPI,TRI,TWI,Training_re
43.9356,76,7.52401,3.77833,1.6887,-0.222222,207.562,6267,8997.74,30050.1,32191.3,0.002721,-0.017819,0.810218,12847100,9369,-0.031079,0.542574,5.5178,0
50.3893,87,5.76191,2.09767,2.75418,1.11111,279.527,5624,10587.6,24476.5,26877.6,0.037323,-0.024213,0.967722,29957500,9369,-27.3016,0.495553,4.31057,0
8.11128,14,10.426,10.8246,55.8944,-0.222222,105.255,4454,6507.53,62537.6,38981.3,-0.021712,0.002658,0.767293,11420700,169,-57.5054,0.386152,12.2642,0
0.754894,1,3.37178,1.6921,69.792,-0.111111,251.565,5336,5580.16,15014.7,25958.2,-0.118489,0.047458,0.358325,29957500,385,-26.045,0.338294,16.8167,0
6.31755,11,3.57715,3.25779,48.9412,-0.555556,70.2011,5378,5580.16,1116.03,31328.5,-0.063998,0.011705,0.833101,11420700,326,-29.8953,0.480518,9.60936,0
1.39176,5,7.05364,0.263046,75.7585,0.666667,239.036,4382,4991.05,38740.9,33443.7,-0.001344,-0.004146,0.869316,12847100,9369,9.17405,0.545251,7.11866,0
51.6327,107,7.94465,11.8444,63.8631,-1.33333,16.2829,5984,10587.6,12071.7,14551.3,0.040231,-0.036714,0.940596,12847100,664,83.1332,0.540348,4.26619,0
45.6238,66,11.2109,6.79151,6.89687,0.111111,80.6145,5554,5580.16,54685.6,30948.5,0.000072,-0.003933,0.757709,12847100,129,55.6075,0.498069,4.76572,0
52.0442,112,6.98279,12.9038,19.0348,1.77778,321.864,5448,4464.13,48312.7,28255.7,0.04494,-0.009942,0.836402,12847100,129,67.0685,0.53104,3.84594,0
5.23748,6,3.38888,4.39154,71.9035,0.888889,90,5212,4464.13,3529.2,28453.3,-0.10156,0.023319,0.796601,29957500,759,-24.7656,0.517631,5.79079,0
7.54315,14,3.40956,2.53399,25.9147,1,167.276,5212,3156.61,8716.49,23463.2,-0.155223,0.072507,0.008994,29957500,1817,-22.5326,0.462981,5.42298,0
13.5197,18,6.1413,23.6299,42.1626,-1.22222,152.103,5454,5580.16,5580.16,6313.23,-0.006786,-0.009837,0.780745,12847100,9369,1.57409,0.465882,6.61823,1
4.85753,8,3.333,0.950138,34.7894,-0.444444,78.6901,4983,0,0,24091.8,-0.14312,0.054969,0.764873,29957500,759,4.96397,0.53919,7.47593,0
44.5555,68,8.1834,35.4098,26.7384,-6,92.9108,5631,10991.6,4464.13,6788.56,0.001278,-0.016327,0.789206,12847100,9369,-50.1179,0.454616,4.51533,1
1.72101,3,4.57176,0.775119,55.3971,-0.444444,33.6901,4450,0,13438.8,13983.8,-0.002594,-0.009412,0.682811,29957500,664,4.21784,0.519703,7.59936,0
0,0,3.17178,0,0,0,-1,5134,0,7812.22,21926.5,-0.120849,0.06826,0.799908,29957500,1817,-21.4295,0.452625,14.7863,0
1.06752,2,4.14745,6.21626,78.0423,0.444444,333.435,5165,1116.03,18708.1,36608.6,0.025507,-0.044217,0.794425,12847100,283,-14.0771,0.579148,7.38397,0
8.10444,9,4.15622,2.98329,24.5047,1.66667,200.556,5144,0,17646,35730.5,0.024411,-0.031432,0.759743,12847100,283,-21.164,0.623653,5.35031,0
45.2221,84,7.96732,5.29376,2.93477,-1.22222,43.9949,4555,8499.45,42774.8,19490.7,-0.000009,0.008404,0.687985,2594590,9369,-55.8479,0.523037,7.00436,0
5.25895,7,3.18154,2.16068,31.6138,0.555556,174.806,5163,1116.03,6788.56,23648.3,-0.126199,0.071958,0.808958,29957500,1817,3.86701,0.421084,5.78668,0
34.6625,52,5.67187,24.5663,26.625,-4.33333,77.4712,4613,2495.52,18708.1,20365.7,0.000744,0.015129,0.593663,2594590,664,45.9076,0.427247,4.86875,0
5.96102,9,3.39099,3.17373,26.4612,0.666667,61.3895,4905,2431.32,1116.03,22597.9,-0.11207,0.04728,0.82034,29957500,1817,-7.92857,0.475528,5.66057,0
4.49515,9,3.71262,5.41381,76.6817,-0.555556,32.0054,4890,0,9535.38,28409.5,-0.027752,0.014067,0.837191,11420700,1817,-11.7669,0.491475,7.89028,0
1.50953,2,3.48028,1.31305,63.8753,-0.333333,251.565,4792,0,2232.06,22152.6,-0.02472,0.009579,0.831502,8983760,1817,-2.72499,0.498482,12.1732,0
8.16581,11,3.42381,3.33662,31.1923,-0.333333,205.821,5207,4023.91,5580.16,15979.1,-0.085882,0.037681,0.831302,29957500,1817,0.247082,0.456552,6.9521,0
0.477454,1,3.22747,3.5605,27.1126,-0.111111,0,5159,1116.03,0,19490.7,-0.11178,0.047921,0.411728,29957500,1817,-2.90905,0.522039,9.2873,0
0.754894,5,3.3038,2.22756,74.2955,-1.22222,71.565,5282,4464.13,0,15504.4,-0.098979,0.02699,0.799337,11420700,759,5.35984,0.580702,9.33998,0
50.9058,90,4.72396,10.811,12.9417,0.444444,19.171,4693,1116.03,12724.7,10289.3,-0.007074,0.001371,0.674672,8983760,9369,-63.8441,0.480799,4.29218,0
6.17385,10,3.38049,3.26313,18.3926,0.666667,74.3577,5380,9203.04,1116.03,11651.7,-0.07609,0.00934,0.839504,29957500,759,6.39546,0.394931,5.62522,0
11.0484,15,6.62049,8.78115,54.9733,1.33333,129.806,5157,7486.57,14973.1,1116.03,0.007423,-0.008295,0.728337,12847100,9369,-50.2281,0.487826,5.03464,1
49.4829,102,6.92955,5.47973,13.685,3.44444,52.2324,5349,3156.61,15179.7,14973.1,0.018876,-0.00828,0.912319,11420700,664,-10.7827,0.491031,3.24407,0
3.47174,6,6.64353,20.6804,63.9689,0.555556,254.055,5795,8499.45,14508.4,1578.31,-0.006345,-0.009612,0.772463,12847100,9369,12.2964,0.49117,6.20354,0
49.7215,84,4.84253,12.4534,10.2118,0.444444,192.024,4153,0,6696.19,9600.47,-0.113561,0.048186,-0.276166,29957500,9369,-19.5632,0.479279,3.92878,0
37.2929,50,4.67881,29.3042,64.7052,-4.66667,18.8315,3947,1116.03,7146.09,3156.61,0.004302,0.010737,0.431062,11420700,9369,-56.0253,0.387759,5.05983,1
7.59464,10,6.05552,11.82,17.7053,0.111111,180,3977,0,18030,15783.1,-0.044033,0.018561,-0.009403,29957500,664,-4.5948,0.529554,7.02554,0
44.9646,72,11.5764,7.38208,5.62742,2.44444,161.263,2685,0,31328.5,16249.7,-0.0863,0.049798,-0.240412,29957500,9369,-20.0768,0.469342,3.40243,0
41.7961,72,6.38722,11.4534,31.5574,4.11111,203.339,5324,6788.56,15179.7,3156.61,-0.021749,0.000417,0.634113,29957500,9369,140.337,0.518951,3.51327,1
5.00628,7,6.90463,2.88998,63.7953,-0.333333,25.3462,5033,7891.54,13392.4,5580.16,0.009311,-0.018981,0.836185,12847100,9369,-12.5663,0.554616,6.93479,1
1.81752,4,6.66709,3.38594,75.8689,0.111111,66.8014,2743,0,32441.8,10528.6,-0.284071,0.191199,-0.284122,576670,9369,5.17429,0.621376,6.85161,0
16.7872,25,6.98643,1.98423,1.93068,-0.333333,57.4074,5237,7891.54,13392.4,6313.23,0.003037,-0.017196,0.815992,12847100,9369,-35.1303,0.483344,5.69822,1
45.7262,80,7.01546,21.3977,76.0126,-4.77778,16.5209,5439,7146.09,14508.4,7146.09,0.052049,-0.019008,0.930943,12847100,9369,-9.17203,0.525128,4.47446,1
6.42315,9,5.94106,1.38515,8.6873,-0.111111,92.1211,4863,4023.91,5690.67,1116.03,-0.011581,-0.002835,0.790341,12847100,9369,-54.0354,0.466321,7.53122,1
22.6199,29,5.26708,2.29815,12.4315,0.555556,343.74,4783,3156.61,4601.52,0,0.014834,-0.000556,0.862143,29957500,9369,-48.0323,0.430096,4.27667,1
45.9917,75,6.85362,23.8296,6.31342,4,29.1442,5634,7058.41,8997.74,3156.61,0.023594,-0.021446,0.879356,11420700,9369,135.554,0.588277,4.05972,1
37.2697,54,6.49164,8.10607,20.8717,0.111111,165.735,5145,6010.02,7891.54,2495.52,-0.036377,0.00547,0.590568,29957500,9369,-66.6398,0.56724,5.75381,1
9.04603,16,6.97106,11.4261,63.1113,3.22222,222.879,5403,8499.45,11216,4991.05,0.039396,-0.014762,0.861975,12847100,9369,0.400345,0.55312,5.23874,1
13.995,20,6.88994,1.21343,35.817,-0.222222,321.789,5444,7891.54,10106.1,4023.91,0.05822,-0.018431,0.93654,12847100,9369,-68.1586,0.517732,5.88917,1
